[Log] Move up: Extra score - 470.4 Avg number of moves 47.2 (ai.js, line 39)
[Log] Move right: Extra score - 283.2 Avg number of moves 31.6 (ai.js, line 39)
[Log] Move down: Extra score - 888 Avg number of moves 69.8 (ai.js, line 39)
[Log] Move down: Extra score - 284.8 Avg number of moves 32.6 (ai.js, line 39)
[Log] Move left: Extra score - 272 Avg number of moves 30.2 (ai.js, line 39)
[Log] Move down: Extra score - 420 Avg number of moves 40 (ai.js, line 39)
[Log] Move up: Extra score - 424 Avg number of moves 44 (ai.js, line 39)
[Log] Move down: Extra score - 335.2 Avg number of moves 32.4 (ai.js, line 39)
[Log] Move right: Extra score - 293.6 Avg number of moves 29.8 (ai.js, line 39)
[Log] Move left: Extra score - 117.6 Avg number of moves 18 (ai.js, line 39)
[Log] Move right: Extra score - 249.6 Avg number of moves 24 (ai.js, line 39)
[Log] Move down: Extra score - 134.4 Avg number of moves 18.6 (ai.js, line 39)
[Log] Move left: Extra score - 244.8 Avg number of moves 21 (ai.js, line 39)
[Log] Move up: Extra score - 300 Avg number of moves 28.8 (ai.js, line 39)
[Log] Move left: Extra score - 111.2 Avg number of moves 16.4 (ai.js, line 39)
[Log] Move down: Extra score - 136 Avg number of moves 17.6 (ai.js, line 39)
[Log] Move up: Extra score - 268 Avg number of moves 27.4 (ai.js, line 39)
[Log] Move right: Extra score - 261.6 Avg number of moves 27 (ai.js, line 39)
[Log] Move up: Extra score - 244 Avg number of moves 23.2 (ai.js, line 39)
[Log] Move up: Extra score - 256.8 Avg number of moves 26.6 (ai.js, line 39)
[Log] Move right: Extra score - 287.2 Avg number of moves 26.6 (ai.js, line 39)
[Log] Move down: Extra score - 533.6 Avg number of moves 34.8 (ai.js, line 39)
[Log] Move right: Extra score - 556.8 Avg number of moves 36.2 (ai.js, line 39)
[Log] Move right: Extra score - 252.8 Avg number of moves 26.4 (ai.js, line 39)
[Log] Move down: Extra score - 169.6 Avg number of moves 21 (ai.js, line 39)
[Log] Move left: Extra score - 306.4 Avg number of moves 28.4 (ai.js, line 39)
[Log] Move left: Extra score - 303.2 Avg number of moves 28 (ai.js, line 39)
[Log] Move up: Extra score - 228 Avg number of moves 19.8 (ai.js, line 39)
[Log] Move right: Extra score - 311.2 Avg number of moves 26.2 (ai.js, line 39)
[Log] Move down: Extra score - 440.8 Avg number of moves 36 (ai.js, line 39)
[Log] Move left: Extra score - 374.4 Avg number of moves 32 (ai.js, line 39)
[Log] Move up: Extra score - 185.6 Avg number of moves 19.8 (ai.js, line 39)
[Log] Move down: Extra score - 316 Avg number of moves 27.8 (ai.js, line 39)
[Log] Move right: Extra score - 486.4 Avg number of moves 40.6 (ai.js, line 39)
[Log] Move down: Extra score - 303.2 Avg number of moves 34.8 (ai.js, line 39)
[Log] Move down: Extra score - 393.6 Avg number of moves 44.6 (ai.js, line 39)
[Log] Move up: Extra score - 652 Avg number of moves 52 (ai.js, line 39)
[Log] Move right: Extra score - 338.4 Avg number of moves 39.2 (ai.js, line 39)
[Log] Move up: Extra score - 664 Avg number of moves 50.4 (ai.js, line 39)
[Log] Move right: Extra score - 416.8 Avg number of moves 38.4 (ai.js, line 39)
[Log] Move up: Extra score - 306.4 Avg number of moves 34.4 (ai.js, line 39)
[Log] Move up: Extra score - 232.8 Avg number of moves 30 (ai.js, line 39)
[Log] Move up: Extra score - 566.4 Avg number of moves 43.8 (ai.js, line 39)
[Log] Move up: Extra score - 333.6 Avg number of moves 36.6 (ai.js, line 39)
[Log] Move right: Extra score - 488.8 Avg number of moves 33 (ai.js, line 39)
[Log] Move right: Extra score - 256.8 Avg number of moves 25.6 (ai.js, line 39)
[Log] Move left: Extra score - 892 Avg number of moves 58.4 (ai.js, line 39)
[Log] Move up: Extra score - 509.6 Avg number of moves 36.2 (ai.js, line 39)
[Log] Move right: Extra score - 480.8 Avg number of moves 33.2 (ai.js, line 39)
[Log] Move down: Extra score - 342.4 Avg number of moves 34.2 (ai.js, line 39)
[Log] Move up: Extra score - 751.2 Avg number of moves 46 (ai.js, line 39)
[Log] Move up: Extra score - 566.4 Avg number of moves 43.8 (ai.js, line 39)
[Log] Move right: Extra score - 351.2 Avg number of moves 35.4 (ai.js, line 39)
[Log] Move left: Extra score - 378.4 Avg number of moves 24.6 (ai.js, line 39)
[Log] Move down: Extra score - 192.8 Avg number of moves 25.2 (ai.js, line 39)
[Log] Move right: Extra score - 172.8 Avg number of moves 23.4 (ai.js, line 39)
[Log] Move down: Extra score - 493.6 Avg number of moves 35.2 (ai.js, line 39)
[Log] Move up: Extra score - 248 Avg number of moves 24.6 (ai.js, line 39)
[Log] Move down: Extra score - 240.8 Avg number of moves 22 (ai.js, line 39)
[Log] Move right: Extra score - 144.8 Avg number of moves 18.8 (ai.js, line 39)
[Log] Move left: Extra score - 261.6 Avg number of moves 25.2 (ai.js, line 39)
[Log] Move down: Extra score - 179.2 Avg number of moves 22.6 (ai.js, line 39)
[Log] Move left: Extra score - 116 Avg number of moves 15.4 (ai.js, line 39)
[Log] Move right: Extra score - 699.2 Avg number of moves 36.8 (ai.js, line 39)
[Log] Move up: Extra score - 220 Avg number of moves 18 (ai.js, line 39)
[Log] Move down: Extra score - 449.6 Avg number of moves 29.2 (ai.js, line 39)
[Log] Move up: Extra score - 164.8 Avg number of moves 18.4 (ai.js, line 39)
[Log] Move left: Extra score - 229.6 Avg number of moves 17.6 (ai.js, line 39)
[Log] Move up: Extra score - 1476.8 Avg number of moves 71 (ai.js, line 39)
[Log] Move right: Extra score - 499.2 Avg number of moves 30.2 (ai.js, line 39)
[Log] Move right: Extra score - 1398.4 Avg number of moves 66.4 (ai.js, line 39)
[Log] Move up: Extra score - 1097.6 Avg number of moves 63.4 (ai.js, line 39)
[Log] Move left: Extra score - 1002.4 Avg number of moves 44 (ai.js, line 39)
[Log] Move down: Extra score - 1362.4 Avg number of moves 66.8 (ai.js, line 39)
[Log] Move down: Extra score - 1410.4 Avg number of moves 69.2 (ai.js, line 39)
[Log] Move up: Extra score - 1152 Avg number of moves 74.6 (ai.js, line 39)
[Log] Move left: Extra score - 1080 Avg number of moves 63.6 (ai.js, line 39)
[Log] Move down: Extra score - 611.2 Avg number of moves 63 (ai.js, line 39)
[Log] Move right: Extra score - 505.6 Avg number of moves 57.6 (ai.js, line 39)
[Log] Move up: Extra score - 711.2 Avg number of moves 74 (ai.js, line 39)
[Log] Move up: Extra score - 704.8 Avg number of moves 71.4 (ai.js, line 39)
[Log] Move down: Extra score - 587.2 Avg number of moves 60.6 (ai.js, line 39)
[Log] Move left: Extra score - 925.6 Avg number of moves 86.2 (ai.js, line 39)
[Log] Move down: Extra score - 628 Avg number of moves 64.8 (ai.js, line 39)
[Log] Move left: Extra score - 797.6 Avg number of moves 75.2 (ai.js, line 39)
[Log] Move right: Extra score - 612.8 Avg number of moves 62.6 (ai.js, line 39)
[Log] Move up: Extra score - 790.4 Avg number of moves 73 (ai.js, line 39)
[Log] Move left: Extra score - 497.6 Avg number of moves 54.6 (ai.js, line 39)
[Log] Move right: Extra score - 663.2 Avg number of moves 66.2 (ai.js, line 39)
[Log] Move left: Extra score - 614.4 Avg number of moves 66.8 (ai.js, line 39)
[Log] Move right: Extra score - 533.6 Avg number of moves 55.4 (ai.js, line 39)
[Log] Move left: Extra score - 732.8 Avg number of moves 72.2 (ai.js, line 39)
[Log] Move right: Extra score - 705.6 Avg number of moves 67.2 (ai.js, line 39)
[Log] Move right: Extra score - 725.6 Avg number of moves 67.6 (ai.js, line 39)
[Log] Move right: Extra score - 510.4 Avg number of moves 51.6 (ai.js, line 39)
[Log] Move right: Extra score - 460.8 Avg number of moves 46.2 (ai.js, line 39)
[Log] Move right: Extra score - 1010.4 Avg number of moves 87.4 (ai.js, line 39)
